Unidad,Numero de miniaturas,Puntos,Tipo
Imotekh,1,100,Personaje
Rey silente,3,420,Personaje
Trazyn el infinito,1,75,Personaje
Ctan trascendido ,1,285,Personaje
Lokhust lord,1,80,Personaje
Monolito,1,400,Vehiculos
Night scythe ,1,145,Personaje
Obelisco,1,300,Vehiculos
Guerreros necrones,20,200,Tropa
Cenoptek scarab swarms,6,80,Tropa
Convergence of dominion,3,180,Vehiculos
Los desollados ,10,120,Tropa
Inmortales ,10,150,Tropa
Lokhust destructores,6,180,Tropa
Lokhust destructores pesados,3,165,Tropa
Destructores ophydian ,6,180,Tropa
Destructor skorpekh,6,180,Tropa
Triarcas pretorianos,10,200,Tropa
Triarca acechador,1,110,Tropa
Lychguard,10,170,Tropa
Doom scythe,1,230,Personaje
