Unidad,Numero de miniaturas,Puntos,Tipo
Equipo Firesight ,1,70,Personaje
Comandante Firesight,1,95,Personaje
Comandante Shadowsun,1,100,Personaje
Etereo ,1,50,Personaje
Hammerhead gunship,1,144,Vehiculo
Kroots carnivoros,20,130,Tropa
Sabuesos kroot,10,80,Tropa
Alborotadores kroot,6,190,Tropa
Phatfinders,10,90,Tropa
Equipo de asalto,10,75,Tropa
Sun shark bomber ,1,160,Vehiculo
Vespid stingwings ,10,130,Tropa
Stormsurge,1,400,Vehiculo
Broadside battlesuits ,3,300,Vehiculo
Razorshark strike fighter,1,170,Vehiculo
Piranha,3,180,Vehiculo
Tidewall gunrig,1,90,Vehiculo
Manta,1,2100,Vehiculo
Taunar supremacy armor,1,790,Vehiculo
Tiger shark,1,275,Vehiculo
